config_pesos,estrato,item_id,item_label,n,media,mediana,q1,q3,ic95_media_inf,ic95_media_sup,ic95_mediana_inf,ic95_mediana_sup
nucleares,SER,ROB,Robustez e Sensibilidade,4,75.0,100.0,75.0,100.0,25.0,100.0,0.0,100.0
nucleares,SER,ROT,Anotacao e Qualidade do Rotulo,4,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
nucleares,SER,SIN,Sincronizacao Multimodal,2,50.0,50.0,25.0,75.0,0.0,100.0,0.0,100.0
nucleares,SER,SUB,Subgrupos e Equidade,4,25.0,25.0,0.0,50.0,0.0,50.0,0.0,50.0
nucleares,SER,VZ,Prevencao de Vazamento,4,75.0,100.0,75.0,100.0,25.0,100.0,0.0,100.0
robustez,FER,CAL,Calibracao,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robustez,FER,CST,Custo e Latencia,8,56.25,50.0,50.0,62.5,37.5,75.0,50.0,100.0
robustez,FER,DAD,Dados e Demografia,9,50.0,50.0,50.0,50.0,27.77777777777778,72.22222222222223,0.0,100.0
robustez,FER,ESC,Escopo e Construto,9,44.44444444444444,50.0,0.0,50.0,22.22222222222222,72.22222222222223,0.0,100.0
robustez,FER,ETH,"Etica, Privacidade e Uso Responsavel",9,16.666666666666668,0.0,0.0,0.0,0.0,44.44444444444444,0.0,50.0
robustez,FER,EXT,Testes entre Bases,9,11.11111111111111,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0
robustez,FER,MET,Metricas e Incerteza,9,11.11111111111111,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0
robustez,FER,MOD,"Modelo, Hiperparametros e Treino",9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
robustez,FER,PRE,Pre-processamento e Caracteristicas,9,61.111111111111114,50.0,50.0,50.0,50.0,77.77777777777777,50.0,100.0
robustez,FER,PRT,Particionamento e Validacao,9,27.77777777777778,0.0,0.0,50.0,5.555555555555555,50.0,0.0,50.0
robustez,FER,REP,Reprodutibilidade e Artefatos,9,5.555555555555555,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0
robustez,FER,ROB,Robustez e Sensibilidade,8,31.25,0.0,0.0,62.5,0.0,62.5,0.0,75.0
robustez,FER,ROT,Anotacao e Qualidade do Rotulo,9,33.333333333333336,50.0,0.0,50.0,16.666666666666668,50.0,0.0,50.0
robustez,FER,SUB,Subgrupos e Equidade,9,16.666666666666668,0.0,0.0,50.0,0.0,33.333333333333336,0.0,50.0
robustez,FER,VZ,Prevencao de Vazamento,8,12.5,0.0,0.0,0.0,0.0,37.5,0.0,0.0
robustez,MULTI,CAL,Calibracao,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robustez,MULTI,CST,Custo e Latencia,9,50.0,50.0,50.0,50.0,33.333333333333336,66.66666666666667,50.0,50.0
robustez,MULTI,DAD,Dados e Demografia,9,44.44444444444444,50.0,50.0,50.0,27.77777777777778,61.111111111111114,0.0,50.0
