data_execucao,script,seed,n_alvo_total,min_por_estrato,n_suplentes_por_estrato,estrato,n_elegiveis,n_titulares,n_suplentes,titulares,suplentes,sha256_amostra_csv,arquivo_amostra_csv
2026-01-25T20:04:01,04_sorteio_amostra.py,2025,16,4,3,FER,11,6,3,"[""ID_15"", ""ID_16"", ""ID_07"", ""ID_39"", ""ID_12"", ""ID_25""]","[""ID_17"", ""ID_27"", ""ID_18""]",bad7558ba04c00bb4ea1133c6541c0941587e8a046f0b3cbe2945c702f45f955,C:/Users/thiag/OneDrive/Área de Trabalho/pythonProject/data/output/amostras/amostra_FER.csv
2026-01-25T20:04:01,04_sorteio_amostra.py,2025,16,4,3,SER,4,4,0,"[""ID_28"", ""ID_42"", ""ID_43"", ""ID_41""]",[],60ad6d44b349c0a274ce8db10969ab869473c2fc506b0dd92d150893928aced8,C:/Users/thiag/OneDrive/Área de Trabalho/pythonProject/data/output/amostras/amostra_SER.csv
2026-01-25T20:04:01,04_sorteio_amostra.py,2025,16,4,3,MULTI,10,6,3,"[""ID_14"", ""ID_31"", ""ID_33"", ""ID_38"", ""ID_08"", ""ID_09""]","[""ID_19"", ""ID_04"", ""ID_34""]",51e1192ae6786c36aeb94ca8b5472b5b3abdbc1b5d7b809a12c166c6aaac8b3e,C:/Users/thiag/OneDrive/Área de Trabalho/pythonProject/data/output/amostras/amostra_MULTI.csv
